Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_Q
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,53,0
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,43,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,67,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,135,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,124,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,147,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,123,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,87,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,81,10
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,76,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,69,12
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,42,13
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,14
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,15
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,36,16
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,17
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,18
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,50,0
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,38,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,38,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,33,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,115,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,190,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,163,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,112,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,116,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,88,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,55,10
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,64,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,42,12
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,44,13
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,44,14
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,25,15
