Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,0
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,10
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,12
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,13
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,14
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,15
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,16
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,17
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,18
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,19
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,20
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,21
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,22
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,23
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,24
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,25
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,26
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,27
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,35,28
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,29
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,30
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,31
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,32
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,33
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,24,34
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,27,35
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,36
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,27,37
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,25,38
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,39
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,25,40
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,41
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,42
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,43
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,27,44
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,45
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,46
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,47
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,48
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,49
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,50
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,51
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,52
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,53
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,54
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,55
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,56
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,57
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,58
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,59
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,60
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,61
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,62
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,63
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,64
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,65
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,66
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,67
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,68
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,69
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,70
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,71
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,72
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,73
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,74
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,75
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,76
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,77
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,78
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,79
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,80
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,81
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,82
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,83
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,84
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,85
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,86
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,87
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,88
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,89
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,90
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,91
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,93
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,99
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,0
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,10
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,12
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,13
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,14
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,15
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,16
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,17
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,18
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,19
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,20
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,21
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,29,22
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,23
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,24
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,25
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,40,26
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,29,27
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,41,28
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,45,29
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,30
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,31
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,32
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,33,33
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,40,34
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,35
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,36
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,37
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,25,38
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,39
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,22,40
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,26,41
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,42
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,26,43
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,22,44
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,45
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,46
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,20,47
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,15,48
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,49
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,50
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,51
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,52
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,53
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,54
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,55
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,56
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,57
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,58
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,59
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,60
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,61
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,62
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,63
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,64
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,65
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,66
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,67
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,68
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,69
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,70
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,15,71
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,72
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,73
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,74
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,75
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,76
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,77
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,78
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,79
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,80
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,81
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,82
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,83
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,84
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,85
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,86
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,87
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,88
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,89
