Àmbit;Dimensió;Centre_Territori;Granularitat;Indicador;Sexe;Grup_edat;Any;Resultat;Catalunya;RaO O_E;IC inferior;IC superior
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;15-44;2024;58.62;53.05;1.03;1.009;1.055
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;15-44;2024;57;53.05;1;0.979;1.03
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;15-44;2024;48.95;53.05;0.86;0.836;0.876
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;Total;2024;59.18;51.52;1.08;1.067;1.1
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;Total;2024;55.63;51.52;1.02;1.001;1.031
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;0-14;2024;99.18;70.39;1.63;1.535;1.72
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;65-74;2024;56.06;47.77;0.92;0.87;0.976
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;15-44;2024;53.88;53.05;0.94;0.923;0.964
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;15-44;2024;54.93;53.05;0.96;0.934;0.995
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;45-64;2024;56.67;55.71;0.95;0.928;0.976
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;45-64;2024;58.8;55.71;0.99;0.954;1.023
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;Total;2024;59.84;51.52;1.09;1.076;1.106
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;Total;2024;54.35;51.52;0.98;0.97;0.996
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;Total;2024;50.51;51.52;0.92;0.904;0.93
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;0-14;2024;55.55;47.75;1.08;1.038;1.124
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;0-14;2024;46.91;26.4;1.12;1.037;1.203
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;65-74;2024;59.28;50.54;1.42;1.336;1.507
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;85+;2024;44.38;40.33;1.45;1.265;1.651
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;75-84;2024;45.82;41.22;1.38;1.276;1.489
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;65-74;2024;58.78;47.77;0.97;0.916;1.02
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;65-74;2024;62.16;49.05;1.18;1.136;1.229
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;65-74;2024;57.63;49.05;1.1;1.055;1.148
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;Total;2024;56.31;51.52;1.04;1.019;1.057
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;Total;2024;47.64;51.52;0.86;0.85;0.877
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;45-64;2024;62.54;55.71;1.05;1.025;1.08
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;45-64;2024;54.3;55.71;0.91;0.883;0.93
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;45-64;2024;54.92;49.53;1.11;1.058;1.157
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;45-64;2024;51.63;49.53;1.04;0.997;1.085
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;65-74;2024;62.07;50.54;1.49;1.398;1.579
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;65-74;2024;68;50.54;1.63;1.515;1.748
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;75-84;2024;53.28;41.22;1.6;1.468;1.75
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;85+;2024;44.98;40.33;1.47;1.274;1.683
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;65-74;2024;66.65;50.54;1.6;1.505;1.692
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;65-74;2024;66.77;50.54;1.6;1.503;1.7
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Home;75-84;2024;54.36;41.22;1.64;1.51;1.772
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Total;75-84;2024;46.88;41.05;1.05;0.99;1.11
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;75-84;2024;42.94;40.92;0.83;0.767;0.894
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-E;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;65-74;2024;54.1;47.77;0.89;0.839;0.943
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Utilització de La Meva Salut (usuaris);Dona;45-64;2024;53.78;61.9;0.79;0.76;0.821
