any;secció censal;concepte;estat;valor
2024;Abella de la Conca DC01 SC001;població amb estudis baixos (%);;20,3
2024;Abella de la Conca DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Abella de la Conca DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;9,9
2024;Abella de la Conca DC01 SC001;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC001;població amb estudis baixos (%);;15,7
2024;Abrera DC01 SC001;població jove sense estudis postobligatoris (%);;21,8
2024;Abrera DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;12,0
2024;Abrera DC01 SC001;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC002;població amb estudis baixos (%);;16,4
2024;Abrera DC01 SC002;població jove sense estudis postobligatoris (%);;16,2
2024;Abrera DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;13,7
2024;Abrera DC01 SC002;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC003;població amb estudis baixos (%);;12,0
2024;Abrera DC01 SC003;població jove sense estudis postobligatoris (%);;8,7
2024;Abrera DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;4,0
2024;Abrera DC01 SC003;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC004;població amb estudis baixos (%);;9,8
2024;Abrera DC01 SC004;població jove sense estudis postobligatoris (%);;15,8
2024;Abrera DC01 SC004;població estrangera de països de renda baixa o mitjana (%);;4,4
2024;Abrera DC01 SC004;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC005;població amb estudis baixos (%);;16,4
2024;Abrera DC01 SC005;població jove sense estudis postobligatoris (%);;19,4
2024;Abrera DC01 SC005;població estrangera de països de renda baixa o mitjana (%);;7,2
2024;Abrera DC01 SC005;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC007;població amb estudis baixos (%);;5,8
2024;Abrera DC01 SC007;població jove sense estudis postobligatoris (%);;7,8
2024;Abrera DC01 SC007;població estrangera de països de renda baixa o mitjana (%);;4,0
2024;Abrera DC01 SC007;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC008;població amb estudis baixos (%);;8,5
2024;Abrera DC01 SC008;població jove sense estudis postobligatoris (%);;14,9
2024;Abrera DC01 SC008;població estrangera de països de renda baixa o mitjana (%);;5,6
2024;Abrera DC01 SC008;renda mitjana per persona (€);;9999999
2024;Abrera DC01 SC009;població amb estudis baixos (%);;10,4
2024;Abrera DC01 SC009;població jove sense estudis postobligatoris (%);;15,0
2024;Abrera DC01 SC009;població estrangera de països de renda baixa o mitjana (%);;2,8
2024;Abrera DC01 SC009;renda mitjana per persona (€);;9999999
2024;Àger DC01 SC001;població amb estudis baixos (%);;16,7
2024;Àger DC01 SC001;població jove sense estudis postobligatoris (%);;19,2
2024;Àger DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;9,8
2024;Àger DC01 SC001;renda mitjana per persona (€);;9999999
2024;Agramunt DC01 SC001;població amb estudis baixos (%);;17,8
2024;Agramunt DC01 SC001;població jove sense estudis postobligatoris (%);;33,3
2024;Agramunt DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;25,4
2024;Agramunt DC01 SC001;renda mitjana per persona (€);;9999999
2024;Agramunt DC01 SC002;població amb estudis baixos (%);;19,9
2024;Agramunt DC01 SC002;població jove sense estudis postobligatoris (%);;39,9
2024;Agramunt DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;20,7
2024;Agramunt DC01 SC002;renda mitjana per persona (€);;9999999
2024;Agramunt DC01 SC003;població amb estudis baixos (%);;12,9
2024;Agramunt DC01 SC003;població jove sense estudis postobligatoris (%);;24,0
2024;Agramunt DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;19,4
2024;Agramunt DC01 SC003;renda mitjana per persona (€);;9999999
2024;Agramunt DC01 SC004;població amb estudis baixos (%);;14,7
2024;Agramunt DC01 SC004;població jove sense estudis postobligatoris (%);;20,2
2024;Agramunt DC01 SC004;població estrangera de països de renda baixa o mitjana (%);;12,5
2024;Agramunt DC01 SC004;renda mitjana per persona (€);;9999999
2024;Aguilar de Segarra DC01 SC001;població amb estudis baixos (%);;10,7
2024;Aguilar de Segarra DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Aguilar de Segarra DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;0,3
2024;Aguilar de Segarra DC01 SC001;renda mitjana per persona (€);;9999999
2024;Agullana DC01 SC001;població amb estudis baixos (%);;11,4
2024;Agullana DC01 SC001;població jove sense estudis postobligatoris (%);;15,6
2024;Agullana DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;10,2
2024;Agullana DC01 SC001;renda mitjana per persona (€);;9999999
2024;Aiguafreda DC01 SC001;població amb estudis baixos (%);;7,9
2024;Aiguafreda DC01 SC001;població jove sense estudis postobligatoris (%);;18,7
2024;Aiguafreda DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;5,8
2024;Aiguafreda DC01 SC001;renda mitjana per persona (€);;9999999
2024;Aiguamúrcia DC01 SC001;població amb estudis baixos (%);;12,3
2024;Aiguamúrcia DC01 SC001;població jove sense estudis postobligatoris (%);;29,4
2024;Aiguamúrcia DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;8,4
2024;Aiguamúrcia DC01 SC001;renda mitjana per persona (€);;9999999
2024;Aiguaviva DC01 SC001;població amb estudis baixos (%);;7,4
2024;Aiguaviva DC01 SC001;població jove sense estudis postobligatoris (%);;11,8
2024;Aiguaviva DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;4,4
2024;Aiguaviva DC01 SC001;renda mitjana per persona (€);;9999999
2024;Aitona DC01 SC001;població amb estudis baixos (%);;26,7
2024;Aitona DC01 SC001;població jove sense estudis postobligatoris (%);;36,6
2024;Aitona DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;36,2
2024;Aitona DC01 SC001;renda mitjana per persona (€);;9999999
2024;Aitona DC01 SC002;població amb estudis baixos (%);;21,3
2024;Aitona DC01 SC002;població jove sense estudis postobligatoris (%);;40,6
2024;Aitona DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;35,7
2024;Aitona DC01 SC002;renda mitjana per persona (€);;9999999
2024;Alamús, els DC01 SC001;població amb estudis baixos (%);;6,0
2024;Alamús, els DC01 SC001;població jove sense estudis postobligatoris (%);;16,7
2024;Alamús, els DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;12,6
2024;Alamús, els DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alàs i Cerc DC01 SC001;població amb estudis baixos (%);;13,1
2024;Alàs i Cerc DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alàs i Cerc DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;1,8
2024;Alàs i Cerc DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albagés, l' DC01 SC001;població amb estudis baixos (%);;16,9
2024;Albagés, l' DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Albagés, l' DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;4,4
2024;Albagés, l' DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albanyà DC01 SC001;població amb estudis baixos (%);;4,7
2024;Albanyà DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Albanyà DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;6,0
2024;Albanyà DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albatàrrec DC01 SC001;població amb estudis baixos (%);;12,8
2024;Albatàrrec DC01 SC001;població jove sense estudis postobligatoris (%);;27,4
2024;Albatàrrec DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;19,2
2024;Albatàrrec DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albesa DC01 SC001;població amb estudis baixos (%);;19,5
2024;Albesa DC01 SC001;població jove sense estudis postobligatoris (%);;33,3
2024;Albesa DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;18,8
2024;Albesa DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albi, l' DC01 SC001;població amb estudis baixos (%);;13,5
2024;Albi, l' DC01 SC001;població jove sense estudis postobligatoris (%);;17,0
2024;Albi, l' DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;6,9
2024;Albi, l' DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albinyana DC01 SC001;població amb estudis baixos (%);;11,3
2024;Albinyana DC01 SC001;població jove sense estudis postobligatoris (%);;32,9
2024;Albinyana DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;5,6
2024;Albinyana DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albiol, l' DC01 SC001;població amb estudis baixos (%);;4,8
2024;Albiol, l' DC01 SC001;població jove sense estudis postobligatoris (%);;14,5
2024;Albiol, l' DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;5,4
2024;Albiol, l' DC01 SC001;renda mitjana per persona (€);;9999999
2024;Albons DC01 SC001;població amb estudis baixos (%);;11,1
2024;Albons DC01 SC001;població jove sense estudis postobligatoris (%);;26,8
2024;Albons DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;8,6
2024;Albons DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alcanar DC01 SC001;població amb estudis baixos (%);;16,5
2024;Alcanar DC01 SC001;població jove sense estudis postobligatoris (%);;32,8
2024;Alcanar DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;23,6
2024;Alcanar DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alcanar DC01 SC002;població amb estudis baixos (%);;19,7
2024;Alcanar DC01 SC002;població jove sense estudis postobligatoris (%);;24,1
2024;Alcanar DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;20,2
2024;Alcanar DC01 SC002;renda mitjana per persona (€);;9999999
2024;Alcanar DC01 SC003;població amb estudis baixos (%);;10,9
2024;Alcanar DC01 SC003;població jove sense estudis postobligatoris (%);;23,8
2024;Alcanar DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;12,3
2024;Alcanar DC01 SC003;renda mitjana per persona (€);;9999999
2024;Alcanar DC01 SC004;població amb estudis baixos (%);;12,3
2024;Alcanar DC01 SC004;població jove sense estudis postobligatoris (%);;27,1
2024;Alcanar DC01 SC004;població estrangera de països de renda baixa o mitjana (%);;24,7
2024;Alcanar DC01 SC004;renda mitjana per persona (€);;9999999
2024;Alcanar DC02 SC001;població amb estudis baixos (%);;26,0
2024;Alcanar DC02 SC001;població jove sense estudis postobligatoris (%);;24,2
2024;Alcanar DC02 SC001;població estrangera de països de renda baixa o mitjana (%);;15,0
2024;Alcanar DC02 SC001;renda mitjana per persona (€);;9999999
2024;Alcanar DC02 SC002;població amb estudis baixos (%);;24,6
2024;Alcanar DC02 SC002;població jove sense estudis postobligatoris (%);;29,7
2024;Alcanar DC02 SC002;població estrangera de països de renda baixa o mitjana (%);;13,4
2024;Alcanar DC02 SC002;renda mitjana per persona (€);;9999999
2024;Alcanó DC01 SC001;població amb estudis baixos (%);;10,2
2024;Alcanó DC01 SC001;població jove sense estudis postobligatoris (%);;9999999,0
2024;Alcanó DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;0,4
2024;Alcanó DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alcarràs DC01 SC001;població amb estudis baixos (%);;18,0
2024;Alcarràs DC01 SC001;població jove sense estudis postobligatoris (%);;41,4
2024;Alcarràs DC01 SC001;població estrangera de països de renda baixa o mitjana (%);;29,3
2024;Alcarràs DC01 SC001;renda mitjana per persona (€);;9999999
2024;Alcarràs DC01 SC002;població amb estudis baixos (%);;19,7
2024;Alcarràs DC01 SC002;població jove sense estudis postobligatoris (%);;42,5
2024;Alcarràs DC01 SC002;població estrangera de països de renda baixa o mitjana (%);;34,7
2024;Alcarràs DC01 SC002;renda mitjana per persona (€);;9999999
2024;Alcarràs DC01 SC003;població amb estudis baixos (%);;17,8
2024;Alcarràs DC01 SC003;població jove sense estudis postobligatoris (%);;46,3
2024;Alcarràs DC01 SC003;població estrangera de països de renda baixa o mitjana (%);;36,0
2024;Alcarràs DC01 SC003;renda mitjana per persona (€);;9999999
2024;Alcarràs DC01 SC004;població amb estudis baixos (%);;17,7
2024;Alcarràs DC01 SC004;població jove sense estudis postobligatoris (%);;33,8
