any,secció censal,concepte,estat,valor
2024,Abella de la Conca DC01 SC001,població amb estudis baixos,p,121.9
2024,Abella de la Conca DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Abella de la Conca DC01 SC001,població estrangera de països de renda baixa o mitjana,p,93.9
2024,Abella de la Conca DC01 SC001,renda mitjana per persona,..,null
2024,Abrera DC01 SC001,població amb estudis baixos,p,108.2
2024,Abrera DC01 SC001,població jove sense estudis postobligatoris,p,100.8
2024,Abrera DC01 SC001,població estrangera de països de renda baixa o mitjana,p,97.7
2024,Abrera DC01 SC001,renda mitjana per persona,..,null
2024,Abrera DC01 SC002,població amb estudis baixos,p,110.3
2024,Abrera DC01 SC002,població jove sense estudis postobligatoris,p,93.0
2024,Abrera DC01 SC002,població estrangera de països de renda baixa o mitjana,p,101.0
2024,Abrera DC01 SC002,renda mitjana per persona,..,null
2024,Abrera DC01 SC003,població amb estudis baixos,p,97.2
2024,Abrera DC01 SC003,població jove sense estudis postobligatoris,p,82.6
2024,Abrera DC01 SC003,població estrangera de països de renda baixa o mitjana,p,82.7
2024,Abrera DC01 SC003,renda mitjana per persona,..,null
2024,Abrera DC01 SC004,població amb estudis baixos,p,90.8
2024,Abrera DC01 SC004,població jove sense estudis postobligatoris,p,92.5
2024,Abrera DC01 SC004,població estrangera de països de renda baixa o mitjana,p,83.4
2024,Abrera DC01 SC004,renda mitjana per persona,..,null
2024,Abrera DC01 SC005,població amb estudis baixos,p,110.3
2024,Abrera DC01 SC005,població jove sense estudis postobligatoris,p,97.5
2024,Abrera DC01 SC005,població estrangera de països de renda baixa o mitjana,p,88.7
2024,Abrera DC01 SC005,renda mitjana per persona,..,null
2024,Abrera DC01 SC007,població amb estudis baixos,p,78.8
2024,Abrera DC01 SC007,població jove sense estudis postobligatoris,p,81.3
2024,Abrera DC01 SC007,població estrangera de països de renda baixa o mitjana,p,82.6
2024,Abrera DC01 SC007,renda mitjana per persona,..,null
2024,Abrera DC01 SC008,població amb estudis baixos,p,86.8
2024,Abrera DC01 SC008,població jove sense estudis postobligatoris,p,91.1
2024,Abrera DC01 SC008,població estrangera de països de renda baixa o mitjana,p,85.8
2024,Abrera DC01 SC008,renda mitjana per persona,..,null
2024,Abrera DC01 SC009,població amb estudis baixos,p,92.7
2024,Abrera DC01 SC009,població jove sense estudis postobligatoris,p,91.3
2024,Abrera DC01 SC009,població estrangera de països de renda baixa o mitjana,p,80.4
2024,Abrera DC01 SC009,renda mitjana per persona,..,null
2024,Àger DC01 SC001,població amb estudis baixos,p,111.2
2024,Àger DC01 SC001,població jove sense estudis postobligatoris,p,97.2
2024,Àger DC01 SC001,població estrangera de països de renda baixa o mitjana,p,93.6
2024,Àger DC01 SC001,renda mitjana per persona,..,null
2024,Agramunt DC01 SC001,població amb estudis baixos,p,114.7
2024,Agramunt DC01 SC001,població jove sense estudis postobligatoris,p,116.9
2024,Agramunt DC01 SC001,població estrangera de països de renda baixa o mitjana,p,122.9
2024,Agramunt DC01 SC001,renda mitjana per persona,..,null
2024,Agramunt DC01 SC002,població amb estudis baixos,p,120.8
2024,Agramunt DC01 SC002,població jove sense estudis postobligatoris,p,126.1
2024,Agramunt DC01 SC002,població estrangera de països de renda baixa o mitjana,p,114.0
2024,Agramunt DC01 SC002,renda mitjana per persona,..,null
2024,Agramunt DC01 SC003,població amb estudis baixos,p,100.1
2024,Agramunt DC01 SC003,població jove sense estudis postobligatoris,p,103.9
2024,Agramunt DC01 SC003,població estrangera de països de renda baixa o mitjana,p,111.6
2024,Agramunt DC01 SC003,renda mitjana per persona,..,null
2024,Agramunt DC01 SC004,població amb estudis baixos,p,105.4
2024,Agramunt DC01 SC004,població jove sense estudis postobligatoris,p,98.6
2024,Agramunt DC01 SC004,població estrangera de països de renda baixa o mitjana,p,98.6
2024,Agramunt DC01 SC004,renda mitjana per persona,..,null
2024,Aguilar de Segarra DC01 SC001,població amb estudis baixos,p,93.5
2024,Aguilar de Segarra DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Aguilar de Segarra DC01 SC001,població estrangera de països de renda baixa o mitjana,p,75.8
2024,Aguilar de Segarra DC01 SC001,renda mitjana per persona,..,null
2024,Agullana DC01 SC001,població amb estudis baixos,p,95.4
2024,Agullana DC01 SC001,població jove sense estudis postobligatoris,p,92.1
2024,Agullana DC01 SC001,població estrangera de països de renda baixa o mitjana,p,94.4
2024,Agullana DC01 SC001,renda mitjana per persona,..,null
2024,Aiguafreda DC01 SC001,població amb estudis baixos,p,85.1
2024,Aiguafreda DC01 SC001,població jove sense estudis postobligatoris,p,96.5
2024,Aiguafreda DC01 SC001,població estrangera de països de renda baixa o mitjana,p,86.0
2024,Aiguafreda DC01 SC001,renda mitjana per persona,..,null
2024,Aiguamúrcia DC01 SC001,població amb estudis baixos,p,98.0
2024,Aiguamúrcia DC01 SC001,població jove sense estudis postobligatoris,p,111.5
2024,Aiguamúrcia DC01 SC001,població estrangera de països de renda baixa o mitjana,p,91.0
2024,Aiguamúrcia DC01 SC001,renda mitjana per persona,..,null
2024,Aiguaviva DC01 SC001,població amb estudis baixos,p,83.5
2024,Aiguaviva DC01 SC001,població jove sense estudis postobligatoris,p,86.9
2024,Aiguaviva DC01 SC001,població estrangera de països de renda baixa o mitjana,p,83.4
2024,Aiguaviva DC01 SC001,renda mitjana per persona,..,null
2024,Aitona DC01 SC001,població amb estudis baixos,p,141.1
2024,Aitona DC01 SC001,població jove sense estudis postobligatoris,p,121.6
2024,Aitona DC01 SC001,població estrangera de països de renda baixa o mitjana,p,143.2
2024,Aitona DC01 SC001,renda mitjana per persona,..,null
2024,Aitona DC01 SC002,població amb estudis baixos,p,124.8
2024,Aitona DC01 SC002,població jove sense estudis postobligatoris,p,127.0
2024,Aitona DC01 SC002,població estrangera de països de renda baixa o mitjana,p,142.3
2024,Aitona DC01 SC002,renda mitjana per persona,..,null
2024,"Alamús, els DC01 SC001",població amb estudis baixos,p,79.3
2024,"Alamús, els DC01 SC001",població jove sense estudis postobligatoris,p,93.7
2024,"Alamús, els DC01 SC001",població estrangera de països de renda baixa o mitjana,p,98.9
2024,"Alamús, els DC01 SC001",renda mitjana per persona,..,null
2024,Alàs i Cerc DC01 SC001,població amb estudis baixos,p,100.6
2024,Alàs i Cerc DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Alàs i Cerc DC01 SC001,població estrangera de països de renda baixa o mitjana,p,78.7
2024,Alàs i Cerc DC01 SC001,renda mitjana per persona,..,null
2024,"Albagés, l' DC01 SC001",població amb estudis baixos,p,111.8
2024,"Albagés, l' DC01 SC001",població jove sense estudis postobligatoris,..,null
2024,"Albagés, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,83.4
2024,"Albagés, l' DC01 SC001",renda mitjana per persona,..,null
2024,Albanyà DC01 SC001,població amb estudis baixos,p,75.6
2024,Albanyà DC01 SC001,població jove sense estudis postobligatoris,..,null
2024,Albanyà DC01 SC001,població estrangera de països de renda baixa o mitjana,p,86.4
2024,Albanyà DC01 SC001,renda mitjana per persona,..,null
2024,Albatàrrec DC01 SC001,població amb estudis baixos,p,99.7
2024,Albatàrrec DC01 SC001,població jove sense estudis postobligatoris,p,108.6
2024,Albatàrrec DC01 SC001,població estrangera de països de renda baixa o mitjana,p,111.2
2024,Albatàrrec DC01 SC001,renda mitjana per persona,..,null
2024,Albesa DC01 SC001,població amb estudis baixos,p,119.6
2024,Albesa DC01 SC001,població jove sense estudis postobligatoris,p,116.9
2024,Albesa DC01 SC001,població estrangera de països de renda baixa o mitjana,p,110.6
2024,Albesa DC01 SC001,renda mitjana per persona,..,null
2024,"Albi, l' DC01 SC001",població amb estudis baixos,p,101.9
2024,"Albi, l' DC01 SC001",població jove sense estudis postobligatoris,p,94.2
2024,"Albi, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,88.2
2024,"Albi, l' DC01 SC001",renda mitjana per persona,..,null
2024,Albinyana DC01 SC001,població amb estudis baixos,p,95.2
2024,Albinyana DC01 SC001,població jove sense estudis postobligatoris,p,116.4
2024,Albinyana DC01 SC001,població estrangera de països de renda baixa o mitjana,p,85.7
2024,Albinyana DC01 SC001,renda mitjana per persona,..,null
2024,"Albiol, l' DC01 SC001",població amb estudis baixos,p,75.9
2024,"Albiol, l' DC01 SC001",població jove sense estudis postobligatoris,p,90.6
2024,"Albiol, l' DC01 SC001",població estrangera de països de renda baixa o mitjana,p,85.3
2024,"Albiol, l' DC01 SC001",renda mitjana per persona,..,null
2024,Albons DC01 SC001,població amb estudis baixos,p,94.7
2024,Albons DC01 SC001,població jove sense estudis postobligatoris,p,107.8
2024,Albons DC01 SC001,població estrangera de països de renda baixa o mitjana,p,91.3
2024,Albons DC01 SC001,renda mitjana per persona,..,null
2024,Alcanar DC01 SC001,població amb estudis baixos,p,110.7
2024,Alcanar DC01 SC001,població jove sense estudis postobligatoris,p,116.2
2024,Alcanar DC01 SC001,població estrangera de països de renda baixa o mitjana,p,119.5
2024,Alcanar DC01 SC001,renda mitjana per persona,..,null
2024,Alcanar DC01 SC002,població amb estudis baixos,p,120.1
2024,Alcanar DC01 SC002,població jove sense estudis postobligatoris,p,104.0
2024,Alcanar DC01 SC002,població estrangera de països de renda baixa o mitjana,p,113.2
2024,Alcanar DC01 SC002,renda mitjana per persona,..,null
2024,Alcanar DC01 SC003,població amb estudis baixos,p,94.1
2024,Alcanar DC01 SC003,població jove sense estudis postobligatoris,p,103.6
2024,Alcanar DC01 SC003,població estrangera de països de renda baixa o mitjana,p,98.3
2024,Alcanar DC01 SC003,renda mitjana per persona,..,null
2024,Alcanar DC01 SC004,població amb estudis baixos,p,98.3
2024,Alcanar DC01 SC004,població jove sense estudis postobligatoris,p,108.2
2024,Alcanar DC01 SC004,població estrangera de països de renda baixa o mitjana,p,121.7
2024,Alcanar DC01 SC004,renda mitjana per persona,..,null
2024,Alcanar DC02 SC001,població amb estudis baixos,p,138.9
2024,Alcanar DC02 SC001,població jove sense estudis postobligatoris,p,104.2
2024,Alcanar DC02 SC001,població estrangera de països de renda baixa o mitjana,p,103.4
2024,Alcanar DC02 SC001,renda mitjana per persona,..,null
2024,Alcanar DC02 SC002,població amb estudis baixos,p,134.8
