CP;Seccion_TOTAL;Distrito;Seccion Censal;Media_renta_Hogar
08019;0801901001;01;001;42658
08019;0801901002;01;002;32672
08019;0801901003;01;003;35938
08019;0801901004;01;004;41877
08019;0801901005;01;005;33004
08019;0801901006;01;006;38981
08019;0801901007;01;007;38052
08019;0801901008;01;008;30205
08019;0801901009;01;009;36196
08019;0801901010;01;010;35587
08019;0801901011;01;011;31983
08019;0801901012;01;012;39533
08019;0801901013;01;013;42749
08019;0801901014;01;014;40319
08019;0801901015;01;015;39525
08019;0801901016;01;016;40824
08019;0801901017;01;017;35270
08019;0801901018;01;018;37667
08019;0801901019;01;019;36568
08019;0801901020;01;020;51269
08019;0801901021;01;021;48574
08019;0801901022;01;022;64077
08019;0801901023;01;023;51440
08019;0801901025;01;025;46969
08019;0801901026;01;026;53131
08019;0801901027;01;027;45629
08019;0801901028;01;028;44706
08019;0801901029;01;029;43682
08019;0801901030;01;030;43585
08019;0801901031;01;031;40945
08019;0801901032;01;032;41427
08019;0801901033;01;033;36855
08019;0801901034;01;034;36820
08019;0801901035;01;035;36906
08019;0801901036;01;036;42877
08019;0801901037;01;037;43164
08019;0801901038;01;038;34200
08019;0801901039;01;039;44270
08019;0801901040;01;040;43095
08019;0801901041;01;041;36358
08019;0801901042;01;042;43491
08019;0801901043;01;043;58739
08019;0801901044;01;044;52421
08019;0801901045;01;045;43639
08019;0801901046;01;046;46075
08019;0801901047;01;047;41138
08019;0801901048;01;048;34699
08019;0801901049;01;049;53559
08019;0801901050;01;050;43808
08019;0801901051;01;051;39305
08019;0801901052;01;052;66010
08019;0801901053;01;053;36479
08019;0801901054;01;054;41399
08019;0801901055;01;055;56992
08019;;02;;68378
08019;0801902001;02;001;58807
08019;0801902002;02;002;60690
08019;0801902003;02;003;67232
08019;0801902004;02;004;59687
08019;0801902005;02;005;67159
08019;0801902006;02;006;70030
08019;0801902007;02;007;74911
08019;0801902008;02;008;72673
08019;0801902009;02;009;68180
08019;0801902010;02;010;66060
08019;0801902011;02;011;64423
08019;0801902012;02;012;53412
08019;0801902013;02;013;52225
08019;0801902014;02;014;52763
08019;0801902015;02;015;54554
08019;0801902016;02;016;67079
08019;0801902017;02;017;73438
08019;0801902018;02;018;69319
08019;0801902019;02;019;62684
